FH,SQ,Q,FX,SIN_HOUR,COS_HOUR
8.0,0.0,62.0,10.0,0.39840108,0.39840108
8.0,0.0,70.0,10.0,0.13616665,0.13616665
9.0,0.0,91.0,11.0,-0.13616665,-0.13616665
10.0,0.0,55.0,11.0,-0.39840108,-0.39840108
11.0,0.0,53.0,13.0,-0.63108796,-0.63108796
10.0,0.0,42.0,13.0,-0.8169699,-0.8169699
12.0,0.2,40.0,14.0,-0.9422609,-0.9422609
11.0,0.0,10.0,14.0,-0.99766874,-0.99766874
11.0,0.0,1.0,14.0,-0.9790841,-0.9790841
12.0,0.0,0.0,15.0,-0.8878852,-0.8878852
11.0,0.0,0.0,13.0,-0.730836,-0.730836
10.0,0.0,0.0,13.0,-0.51958394,-0.51958394
9.0,0.0,0.0,11.0,-0.26979676,-0.26979676
9.0,0.0,0.0,10.0,-2.4492937e-16,-2.4492937e-16
6.0,0.0,0.0,8.0,0.26979676,0.26979676
8.0,0.0,0.0,10.0,0.51958394,0.51958394
9.0,0.0,0.0,11.0,0.730836,0.730836
9.0,0.0,0.0,11.0,0.8878852,0.8878852
9.0,0.0,0.0,10.0,0.9790841,0.9790841
8.0,0.0,0.0,10.0,0.99766874,0.99766874
7.0,0.2,12.0,9.0,0.9422609,0.9422609
8.0,1.0,62.0,10.0,0.8169699,0.8169699
8.0,1.0,118.0,10.0,0.63108796,0.63108796
7.0,1.0,164.0,10.0,0.39840108,0.39840108
6.0,1.0,198.0,7.0,0.13616665,0.13616665
5.0,1.0,208.0,7.0,-0.13616665,-0.13616665
6.0,1.0,203.0,8.0,-0.39840108,-0.39840108
7.0,0.9,169.0,9.0,-0.63108796,-0.63108796
5.0,0.7,99.0,8.0,-0.8169699,-0.8169699
4.0,0.5,62.0,6.0,-0.9422609,-0.9422609
6.0,0.5,26.0,7.0,-0.99766874,-0.99766874
6.0,0.0,5.0,9.0,-0.9790841,-0.9790841
4.0,0.0,0.0,8.0,-0.8878852,-0.8878852
6.0,0.0,0.0,8.0,-0.730836,-0.730836
7.0,0.0,0.0,9.0,-0.51958394,-0.51958394
8.0,0.0,0.0,9.0,-0.26979676,-0.26979676
7.0,0.0,0.0,9.0,-2.4492937e-16,-2.4492937e-16
9.0,0.0,0.0,11.0,0.26979676,0.26979676
10.0,0.0,0.0,12.0,0.51958394,0.51958394
10.0,0.0,0.0,12.0,0.730836,0.730836
11.0,0.0,0.0,13.0,0.8878852,0.8878852
11.0,0.0,0.0,13.0,0.9790841,0.9790841
11.0,0.0,0.0,14.0,0.99766874,0.99766874
13.0,0.0,10.0,16.0,0.9422609,0.9422609
12.0,0.1,39.0,15.0,0.8169699,0.8169699
13.0,0.6,94.0,15.0,0.63108796,0.63108796
13.0,0.5,106.0,16.0,0.39840108,0.39840108
13.0,0.4,116.0,17.0,0.13616665,0.13616665
13.0,0.4,143.0,17.0,-0.13616665,-0.13616665
13.0,0.3,115.0,16.0,-0.39840108,-0.39840108
12.0,0.8,156.0,16.0,-0.63108796,-0.63108796
12.0,0.9,126.0,14.0,-0.8169699,-0.8169699
11.0,0.9,85.0,13.0,-0.9422609,-0.9422609
11.0,1.0,51.0,13.0,-0.99766874,-0.99766874
12.0,0.2,8.0,14.0,-0.9790841,-0.9790841
12.0,0.0,0.0,14.0,-0.8878852,-0.8878852
12.0,0.0,0.0,14.0,-0.730836,-0.730836
11.0,0.0,0.0,13.0,-0.51958394,-0.51958394
11.0,0.0,0.0,13.0,-0.26979676,-0.26979676
10.0,0.0,0.0,12.0,-2.4492937e-16,-2.4492937e-16
8.0,0.0,0.0,11.0,0.26979676,0.26979676
8.0,0.0,0.0,11.0,0.51958394,0.51958394
8.0,0.0,0.0,11.0,0.730836,0.730836
8.0,0.0,0.0,11.0,0.8878852,0.8878852
